job_id,title,department,location,date_opened,headcount,status
JOB0001,Software Engineer,Marketing,Hyderabad,2024-01-26,1,On Hold
JOB0002,ML Engineer,Marketing,Bengaluru,,1,Open
JOB0003,Business Analyst,HR,Chennai,28/01/2024,3,Closed
JOB0004,Backend Developer,Data & Analytics,Bengaluru,11-Oct-2024,1,On Hold
JOB0005,HR Business Partner,Sales,Pune,2024-10-11,2,Open
JOB0006,HR Business Partner,Product,Chennai,27/09/2024,1,Closed
JOB0007,ML Engineer,Engineering,Noida,27-Oct-2024,1,On Hold
JOB0008,Software Engineer,Data & Analytics,Pune,02/16/2024,1,Open
JOB0009,Sales Executive,Sales,Pune,2025-04-09,1,Open
JOB0010,Sales Executive,Marketing,Hyderabad,14/03/2024,1,Open
JOB0011,Marketing Analyst,Sales,Chennai,03/10/2024,1,On Hold
JOB0012,Data Analyst,Product,Pune,22/08/2024,1,Open
JOB0013,HR Business Partner,HR,Remote,05-Aug-2024,2,Open
JOB0014,Data Scientist,Product,Noida,2024-09-09,3,Closed
JOB0015,Marketing Analyst,HR,Hyderabad,05/01/2025,1,Open
JOB0016,Data Scientist,Engineering,Remote,12/06/2024,2,Closed
JOB0017,Backend Developer,HR,Bengaluru,14/09/2024,1,On Hold
JOB0018,Sales Executive,HR,Remote,2024-12-14,1,On Hold
JOB0019,Sales Executive,Marketing,Noida,05/27/2025,1,On Hold
JOB0020,Business Analyst,HR,Hyderabad,22/07/2024,3,Open
JOB0021,HR Business Partner,HR,Pune,15-May-2025,1,Open
JOB0022,Product Manager,Engineering,Remote,21-Mar-2024,3,Open
JOB0023,Backend Developer,Data & Analytics,Noida,18/06/2024,1,On Hold
JOB0024,Product Manager,Marketing,Chennai,15/11/2024,2,On Hold
JOB0025,Software Engineer,Sales,Pune,,3,Open
JOB0026,Product Manager,HR,Chennai,2024-01-08,1,Open
JOB0027,Software Engineer,Product,Remote,2024-08-31,1,On Hold
JOB0028,Business Analyst,HR,Remote,29-Apr-2025,1,Open
JOB0029,Marketing Analyst,Engineering,Remote,28-Dec-2024,1,On Hold
JOB0030,Software Engineer,Marketing,Pune,03-Mar-2024,1,Open
JOB0031,Product Manager,Data & Analytics,Hyderabad,2025-04-04,1,Open
JOB0032,ML Engineer,Sales,Noida,10-Apr-2024,1,Open
JOB0033,Marketing Analyst,Data & Analytics,Remote,05/12/2025,1,Closed
JOB0034,Marketing Analyst,Engineering,Remote,2024-09-28,3,On Hold
JOB0035,Backend Developer,Marketing,Hyderabad,06/07/2024,3,On Hold
JOB0036,Data Analyst,HR,Noida,17/11/2024,3,Open
JOB0037,ML Engineer,Engineering,Bengaluru,23/03/2024,1,Closed
JOB0038,Business Analyst,Engineering,Bengaluru,09/09/2024,2,On Hold
JOB0039,Business Analyst,HR,Hyderabad,19/11/2024,1,Open
JOB0040,Marketing Analyst,Product,Pune,14/05/2024,1,Open
