application_id,candidate_id,job_id,recruiter_id,applied_date,stage,closed_date
APP000001,CAND00001,JOB0004,R001,02/11/2024,Rejected,2024-12-10
APP000002,CAND00002,JOB0029,R003,,Interview,
APP000003,CAND00002,JOB0035,R005,2024-06-07,Offer,
APP000004,CAND00003,JOB0005,R003,25-Nov-2024,Rejected,2024-12-04
APP000005,CAND00004,JOB0025,R004,2024-10-30,Rejected,03-Nov-2024
APP000006,CAND00004,JOB0035,R003,14/07/2024,Withdrawn,26-Jul-2024
APP000007,CAND00005,JOB0024,R005,2024-11-16,Offer,
APP000008,CAND00005,JOB0037,R005,06/07/2024,Interview,
APP000009,CAND00005,JOB0023,R005,2024-07-15,Interview,
APP000010,CAND00006,JOB0017,R005,08-Oct-2024,Screening,
APP000011,CAND00006,JOB0036,R001,2025-01-15,Offer,
APP000012,CAND00007,JOB0013,R003,2024-10-18,Interview,
APP000013,CAND00008,JOB0007,R002,2024-12-02,Offer,
APP000014,CAND00009,JOB0020,R005,18/10/2024,Offer,
APP000015,CAND00009,JOB0028,R002,20-May-2025,Applied,
APP000016,CAND00010,JOB0028,R003,03-Jun-2025,Rejected,2025-06-14
APP000017,CAND00010,JOB0020,R002,22/09/2024,Offer,
APP000018,CAND00010,JOB0018,R003,31-Dec-2024,Rejected,15-Jan-2025
APP000019,CAND00011,JOB0033,R005,31/07/2025,Applied,
APP000020,CAND00012,JOB0003,R005,07/04/2024,Screening,
APP000021,CAND00013,JOB0026,R003,2024-02-05,Rejected,2024-03-16
APP000022,CAND00014,JOB0033,R005,13/05/2025,Offer,
APP000023,CAND00015,JOB0029,R005,17/01/2025,Screening,
APP000024,CAND00016,JOB0031,R004,2025-05-19,Applied,
APP000025,CAND00016,JOB0015,R005,01/10/2025,Offer,
APP000026,CAND00016,JOB0031,R003,2025-06-01,Rejected,06/06/2025
APP000027,CAND00017,JOB0017,R002,2024-11-27,Interview,
APP000028,CAND00018,JOB0005,R002,16/12/2024,Screening,
APP000029,CAND00018,JOB0023,R005,,Rejected,17/10/2024
APP000030,CAND00019,JOB0005,R002,2024-12-15,Offer,
APP000031,CAND00020,JOB0008,R003,10-May-2024,Screening,
APP000032,CAND00020,JOB0031,R002,04/06/2025,Screening,
APP000033,CAND00021,JOB0003,R002,2024-02-13,Offer,
APP000034,CAND00022,JOB0010,R002,21/03/2024,Screening,
APP000035,CAND00022,JOB0037,R003,06/12/2024,Applied,
APP000036,CAND00023,JOB0031,R004,04/06/2025,Screening,
APP000037,CAND00023,JOB0012,R003,2024-11-09,Offer,
APP000038,CAND00024,JOB0039,R004,2025-02-02,Applied,
APP000039,CAND00024,JOB0013,R004,10-Oct-2024,Rejected,2024-11-14
APP000040,CAND00025,JOB0039,R005,23-Nov-2024,Rejected,30/12/2024
APP000041,CAND00025,JOB0039,R004,27/01/2025,Rejected,
APP000042,CAND00026,JOB0028,R004,2025-05-28,Rejected,06/30/2025
APP000043,CAND00026,JOB0037,R003,04/04/2024,Interview,
APP000044,CAND00027,JOB0019,R003,2025-08-11,Rejected,09-Sep-2025
APP000045,CAND00028,JOB0034,R004,13/10/2024,Interview,
APP000046,CAND00028,JOB0021,R002,06/07/2025,Interview,
APP000047,CAND00029,JOB0035,R005,2024-07-31,Offer,
APP000048,CAND00030,JOB0027,R002,2024-11-09,Rejected,2024-12-12
APP000049,CAND00031,JOB0037,R002,06-May-2024,Rejected,03-Jun-2024
APP000050,CAND00032,JOB0011,R004,15-Oct-2024,Screening,
APP000051,CAND00032,JOB0040,R002,2024-08-11,Hired,17-Aug-2024
APP000052,CAND00033,JOB0031,R001,2025-06-19,Interview,
APP000053,CAND00034,JOB0003,R005,17/03/2024,Rejected,04/14/2024
APP000054,CAND00034,JOB0004,R004,,Offer,
APP000055,CAND00035,JOB0019,R005,20/06/2025,Applied,
APP000056,CAND00035,JOB0040,R003,2024-06-04,offer,
APP000057,CAND00036,JOB0006,R004,01/11/2024,Rejected,
APP000058,CAND00037,JOB0005,R005,10/22/2024,Offer,
APP000059,CAND00037,JOB0018,R002,11/01/2025,Offer,
APP000060,CAND00037,JOB0001,R005,2024-02-28,Screening,
APP000061,CAND00038,JOB0022,R005,04-Apr-2024,Rejected,23/04/2024
APP000062,CAND00039,JOB0037,R003,05/23/2024,Hired,13/07/2024
APP000063,CAND00039,JOB0038,R003,2024-09-12,Interview,
APP000064,CAND00040,JOB0015,R003,14/02/2025,interview,
APP000065,CAND00041,JOB0016,R003,2024-07-18,Screening,
APP000066,CAND00042,JOB0021,R005,2025-06-29,Screening,
APP000067,CAND00042,JOB0013,R002,07-Oct-2024,Hired,2024-10-25
APP000068,CAND00043,JOB0040,R001,2024-06-28,Screening,
APP000069,CAND00044,JOB0032,R005,06/27/2024,Applied,
APP000070,CAND00044,JOB0024,R005,02-Feb-2025,Screening,
APP000071,CAND00044,JOB0033,R005,2025-06-16,Interview,
APP000072,CAND00045,JOB0031,R003,2025-06-12,Applied,
APP000073,CAND00045,JOB0012,R005,19/10/2024,Withdrawn,
APP000074,CAND00046,JOB0025,R003,23/11/2024,Screening,
APP000075,CAND00047,JOB0017,R005,2024-10-14,Screening,
APP000076,CAND00047,JOB0028,R003,2025-05-25,Interview,
APP000077,CAND00048,JOB0012,R005,03/11/2024,Screening,
APP000078,CAND00048,JOB0018,R004,2025-01-13,Offer,
APP000079,CAND00049,JOB0010,R004,13/05/2024,Rejected,27-May-2024
APP000080,CAND00049,JOB0034,R004,2024-12-05,Hired,27/01/2025
APP000081,CAND00049,JOB0026,R002,20-Jan-2024,Hired,26/01/2024
APP000082,CAND00050,JOB0022,R005,23/04/2024,Interview,
APP000083,CAND00050,JOB0023,R003,20-Jun-2024,Interview,
APP000084,CAND00051,JOB0037,R005,2024-06-04,Offer,
APP000085,CAND00052,JOB0021,R004,09-Aug-2025,Interview,
APP000086,CAND00053,JOB0030,R002,22/05/2024,Withdrawn,19/07/2024
APP000087,CAND00054,JOB0037,R001,2024-05-13,Rejected,2024-05-20
APP000088,CAND00054,JOB0019,R004,2025-08-25,Screening,
APP000089,CAND00055,JOB0038,R002,2024-11-14,Withdrawn,13-Dec-2024
APP000090,CAND00056,JOB0017,R002,2024-12-12,Hired,12/28/2024
APP000091,CAND00056,JOB0031,R004,13/06/2025,Applied,
APP000092,CAND00056,JOB0007,R001,29/11/2024,Offer,
APP000093,CAND00057,JOB0015,R002,2025-02-05,Hired,
APP000094,CAND00058,JOB0023,R005,07/29/2024,Rejected,2024-08-30
APP000095,CAND00058,JOB0035,R004,29/06/2024,Offer,
APP000096,CAND00058,JOB0037,R005,2024-05-17,Interview,
APP000097,CAND00059,JOB0015,R003,16/01/2025,Interview,
APP000098,CAND00059,JOB0001,R002,2024-01-26,Interview,
APP000099,CAND00060,JOB0032,R004,10-Jun-2024,Screening,
APP000100,CAND00061,JOB0036,R005,03/01/2025,Screening,
APP000101,CAND00062,JOB0025,R001,28/10/2024,Screening,
APP000102,CAND00062,JOB0040,R005,10-Aug-2024,Hired,31-Aug-2024
APP000103,CAND00062,JOB0012,R004,08/09/2024,Screening,
APP000104,CAND00063,JOB0032,R002,,Interview,
APP000105,CAND00063,JOB0012,R002,04-Sep-2024,Screening,
APP000106,CAND00064,JOB0006,R002,2024-10-16,Applied,
APP000107,CAND00065,JOB0024,R003,2025-01-13,Hired,2025-01-18
APP000108,CAND00065,JOB0018,R004,2025-02-02,Applied,
APP000109,CAND00066,JOB0025,R002,2024-09-11,Screening,
APP000110,CAND00067,JOB0003,R001,22/02/2024,Interview,
APP000111,CAND00068,JOB0025,R002,06/12/2024,Withdrawn,12/29/2024
APP000112,CAND00068,JOB0034,R003,2024-10-13,Screening,
APP000113,CAND00069,JOB0014,R004,2024-09-23,Screening,
APP000114,CAND00069,JOB0018,R002,,Screening,
APP000115,CAND00069,JOB0031,R003,01-Jul-2025,Offer,
APP000116,CAND00070,JOB0006,R001,2024-12-23,Offer,
APP000117,CAND00070,JOB0035,R002,2024-06-20,Screening,
APP000118,CAND00071,JOB0023,R004,2024-08-13,Hired,17-Aug-2024
APP000119,CAND00071,JOB0032,R003,09/07/2024,Interview,
APP000120,CAND00071,JOB0037,R003,15-Apr-2024,Interview,
APP000121,CAND00072,JOB0036,R002,07/12/2024,Applied,
APP000122,CAND00072,JOB0035,R005,2024-07-23,Interview,
APP000123,CAND00073,JOB0040,R003,29-Jun-2024,Rejected,17/07/2024
APP000124,CAND00074,JOB0013,R005,2024-10-11,Hired,02/12/2024
APP000125,CAND00074,JOB0021,R001,,Screening,
APP000126,CAND00075,JOB0003,R002,2024-02-22,Screening,
APP000127,CAND00076,JOB0032,R005,2024-06-16,Offer,
APP000128,CAND00076,JOB0039,R002,28/11/2024,Applied,
APP000129,CAND00077,JOB0030,R005,23-May-2024,Applied,
APP000130,CAND00078,JOB0004,R001,28-Dec-2024,Screening,
APP000131,CAND00079,JOB0014,R002,14/11/2024,Screening,
APP000132,CAND00080,JOB0016,R002,23/08/2024,Offer,
APP000133,CAND00080,JOB0007,R004,16-Jan-2025,Offer,
APP000134,CAND00081,JOB0011,R005,2024-10-26,Offer,
APP000135,CAND00082,JOB0029,R003,11-Feb-2025,Rejected,21/03/2025
APP000136,CAND00082,JOB0021,R005,2025-07-31,Screening,
APP000137,CAND00083,JOB0017,R004,,Withdrawn,2024-11-30
APP000138,CAND00083,JOB0002,R003,,Screening,
APP000139,CAND00083,JOB0014,R003,10/19/2024,Applied,
APP000140,CAND00084,JOB0037,R004,2024-04-11,Screening,
APP000141,CAND00084,JOB0024,R003,28-Jan-2025,Screening,
APP000142,CAND00085,JOB0037,R003,19-Apr-2024,Hired,07-Jun-2024
APP000143,CAND00085,JOB0037,R003,,Offer,
